date,open,high,low,close,volume,dividend,split
2017-01-03,28.950000762939453,29.082500457763672,28.690000534057617,29.037500381469727,115127600,0,1
2017-01-04,28.962499618530273,29.127500534057617,28.9375,29.0049991607666,84472400,0,1
2017-01-05,28.979999542236328,29.21500015258789,28.952499389648438,29.15250015258789,88774400,0,1
2017-01-06,29.19499969482422,29.540000915527344,29.11750030517578,29.477500915527344,127007600,0,1
2017-01-09,29.487499237060547,29.857500076293945,29.485000610351562,29.747499465942383,134247600,0,1
2017-01-10,29.6924991607666,29.844999313354492,29.575000762939453,29.77750015258789,97848400,0,1
2017-01-11,29.684999465942383,29.982500076293945,29.649999618530273,29.9375,110354400,0,1
2017-01-12,29.725000381469727,29.825000762939453,29.552499771118164,29.8125,108344800,0,1
2017-01-13,29.77750015258789,29.905000686645508,29.702499389648438,29.760000228881836,104447600,0,1
2017-01-17,29.584999084472656,30.059999465942383,29.55500030517578,30.0,137759200,0,1
2017-01-18,30.0,30.125,29.927499771118164,29.997499465942383,94852000,0,1
2017-01-19,29.850000381469727,30.022499084472656,29.842500686645508,29.94499969482422,102389200,0,1
2017-01-20,30.112499237060547,30.112499237060547,29.9325008392334,30.0,130391600,0,1
2017-01-23,30.0,30.202499389648438,29.9424991607666,30.020000457763672,88200800,0,1
2017-01-24,29.887500762939453,30.024999618530273,29.875,29.99250030517578,92844000,0,1
2017-01-25,30.104999542236328,30.524999618530273,30.06999969482422,30.469999313354492,129510400,0,1
2017-01-26,30.417499542236328,30.610000610351562,30.399999618530273,30.485000610351562,105350400,0,1
2017-01-27,30.53499984741211,30.587499618530273,30.399999618530273,30.487499237060547,82251600,0,1
2017-01-30,30.232500076293945,30.407499313354492,30.165000915527344,30.407499313354492,121510000,0,1
2017-01-31,30.287500381469727,30.34749984741211,30.155000686645508,30.337499618530273,196804000,0,1
2017-02-01,31.75749969482422,32.622501373291016,31.752500534057617,32.1875,447940000,0,1
2017-02-02,31.9950008392334,32.34749984741211,31.94499969482422,32.13249969482422,134841600,0,1
2017-02-03,32.07749938964844,32.29750061035156,32.040000915527344,32.27000045776367,98029200,0,1
2017-02-06,32.282501220703125,32.625,32.224998474121094,32.5724983215332,107383600,0,1
2017-02-07,32.6349983215332,33.022499084472656,32.61249923706055,32.88249969482422,152735200,0,1
2017-02-08,32.837501525878906,33.05500030517578,32.80500030517578,33.0099983215332,92016400,0,1
2017-02-09,32.912498474121094,33.11249923706055,32.779998779296875,33.10499954223633,113399600,0,1
2017-02-10,33.1150016784668,33.23500061035156,33.01250076293945,33.029998779296875,80262000,0,1
2017-02-13,33.27000045776367,33.45500183105469,33.1875,33.3224983215332,92141600,0,1
2017-02-14,33.36750030517578,33.772499084472656,33.3125,33.755001068115234,132904800,0,1
2017-02-15,33.880001068115234,34.067501068115234,33.654998779296875,33.877498626708984,142492400,0,1
2017-02-16,33.91749954223633,33.974998474121094,33.709999084472656,33.837501525878906,90338400,0,1
2017-02-17,33.775001525878906,33.95750045776367,33.775001525878906,33.93000030517578,88792800,0,1
2017-02-21,34.057498931884766,34.1875,33.994998931884766,34.17499923706055,98028800,0,1
